,id,min,max,parameter_name,is_available,user_changeable,type,unit,list,comment,created_at,updated_at,update_user
61,68,,,xafs_anom,True,True,integer,,,,2024-01-28T18:49:12.429375+09:00,2024-01-28T18:49:12.429422+09:00,1.0
62,69,,,xafs_mode,True,True,integer,,,,2024-01-28T18:49:36.401123+09:00,2024-01-28T18:49:36.401157+09:00,1.0
63,70,,,attenuator_index,True,True,integer,,,,2024-01-28T18:49:44.900804+09:00,2024-03-05T14:49:25.003881+09:00,1.0
64,71,,,xafs_start_wavelength,True,True,decimal,,,,2024-01-28T18:50:16.328453+09:00,2024-01-28T18:50:16.328488+09:00,1.0
65,72,,,xafs_end_wavelength,True,True,decimal,,,,2024-01-28T18:50:22.628922+09:00,2024-01-28T18:50:22.628956+09:00,1.0
66,73,,,xafs_step_wavelength,True,True,decimal,,,,2024-01-28T18:50:28.294872+09:00,2024-01-28T18:50:28.294906+09:00,1.0
67,75,,,xafs_sca_low,True,True,decimal,,,,2024-01-28T18:51:53.397221+09:00,2024-01-28T18:51:53.397257+09:00,1.0
68,76,,,xafs_sca_high,True,True,decimal,,,,2024-01-28T18:51:57.329484+09:00,2024-01-28T18:51:57.329521+09:00,1.0
69,77,,,xafs_count_time,True,True,decimal,,,,2024-01-28T18:52:17.226558+09:00,2024-01-28T18:52:17.226593+09:00,1.0
70,78,,,xafs_wait_time,True,True,decimal,,,,2024-01-28T18:52:33.498926+09:00,2024-01-28T18:52:33.498959+09:00,1.0
71,79,,,attenuator_transmission,True,True,decimal,,,,2024-01-28T18:53:19.643595+09:00,2024-03-05T14:51:29.719232+09:00,1.0
72,80,,,xafs_auto_attenuator_flag,True,True,boolean,,,,2024-01-28T18:53:37.401050+09:00,2024-02-21T10:34:06.576410+09:00,1.0
73,81,,,estimated_dose,True,True,decimal,,,,2024-01-28T18:54:25.247415+09:00,2024-01-28T18:54:25.247450+09:00,1.0
74,82,,,factor_for_dose_estimation,True,True,decimal,,,,2024-01-28T18:54:54.862828+09:00,2024-01-28T18:54:54.862866+09:00,1.0
75,83,,,comment,True,True,text,,,,2024-01-28T18:55:26.889960+09:00,2024-01-28T18:55:26.889995+09:00,1.0
76,84,,,cleaning_flag,True,True,boolean,,,,2024-01-28T18:58:31.748800+09:00,2024-01-28T18:58:31.748835+09:00,1.0
77,85,,,not_dismount_flag,True,True,boolean,,,,2024-01-28T18:58:45.260715+09:00,2024-01-28T18:58:45.260748+09:00,1.0
78,86,,,raster_scan_type,True,True,integer,,,,2024-01-28T18:59:56.429121+09:00,2024-01-28T18:59:56.429157+09:00,1.0
79,87,,,raster_ver_npoint,True,True,integer,,,,2024-01-28T19:00:15.045413+09:00,2024-03-05T14:54:07.480388+09:00,1.0
80,88,,,raster_hor_npoint,True,True,integer,,,,2024-01-28T19:00:21.155279+09:00,2024-01-28T19:00:21.155316+09:00,1.0
81,89,,,raster_ver_center,True,True,decimal,,,,2024-01-28T19:01:06.481562+09:00,2024-01-28T19:01:06.481599+09:00,1.0
82,90,,,raster_hor_center,True,True,decimal,,,,2024-01-28T19:01:13.752910+09:00,2024-01-28T19:01:13.752944+09:00,1.0
83,91,,,raster_rotation_flag,True,True,boolean,,,,2024-01-28T19:01:42.914433+09:00,2024-01-28T19:01:42.914467+09:00,1.0
84,92,,,raster_accumulate_rotation_flag,True,True,boolean,,,,2024-01-28T19:02:13.136961+09:00,2024-01-28T19:02:13.136995+09:00,1.0
85,93,,,raster_rotation_range,True,True,decimal,,,,2024-01-28T19:02:38.364905+09:00,2024-01-28T19:02:38.364939+09:00,1.0
86,94,,,raster_zigzag_flag,True,True,boolean,,,,2024-01-28T19:03:38.731256+09:00,2024-01-28T19:03:38.731291+09:00,1.0
87,95,,,raster_inclination_flag,True,True,boolean,,,,2024-01-28T19:03:53.284493+09:00,2024-01-28T19:03:53.284534+09:00,1.0
88,96,,,raster_close_cover_flag,True,True,boolean,,,,2024-01-28T19:04:15.689479+09:00,2024-01-28T19:04:15.689512+09:00,1.0
89,97,0.0,2.0,roi_mode,True,True,integer,,,,2024-01-28T19:04:49.120118+09:00,2024-02-21T16:12:16.929723+09:00,1.0
90,98,,,detector_setup_level,True,True,integer,,,,2024-01-28T19:05:19.291848+09:00,2024-01-28T19:05:19.291882+09:00,1.0
91,99,,,exposure_time2_1,True,True,decimal,,,,2024-02-18T23:39:59.831157+09:00,2024-02-18T23:39:59.831192+09:00,1.0
92,100,,,exposure_time2_2,True,True,decimal,,,,2024-02-18T23:40:05.876765+09:00,2024-02-18T23:40:05.876801+09:00,1.0
93,101,,,exposure_time2_3,True,True,decimal,,,,2024-02-18T23:40:11.188450+09:00,2024-02-18T23:40:11.188485+09:00,1.0
94,102,,,frame_rate_1,True,True,decimal,,,,2024-02-18T23:41:41.610798+09:00,2024-02-18T23:41:41.610832+09:00,1.0
95,103,,,frame_rate_2,True,True,decimal,,,,2024-02-18T23:41:46.231974+09:00,2024-02-18T23:41:46.232007+09:00,1.0
96,104,,,frame_rate_3,True,True,decimal,,,,2024-02-18T23:41:50.286692+09:00,2024-02-18T23:41:50.286724+09:00,1.0
97,106,,,x,True,True,decimal,,,,2024-03-05T14:43:22.548904+09:00,2024-03-05T14:43:22.548951+09:00,1.0
98,107,,,y,True,True,decimal,,,,2024-03-05T14:43:40.687541+09:00,2024-03-05T14:43:40.687572+09:00,1.0
99,108,,,z,True,True,decimal,,,,2024-03-05T14:43:45.641493+09:00,2024-03-05T14:43:45.641531+09:00,1.0
100,109,,,raster_ver_step,True,True,decimal,,,,2024-03-05T14:56:24.237335+09:00,2024-03-05T14:56:24.237381+09:00,1.0
101,110,,,raster_hor_step,True,True,decimal,,,,2024-03-05T14:56:32.369281+09:00,2024-03-05T14:56:32.369312+09:00,1.0
102,113,,,root_dir,True,True,text,,,,2024-03-21T17:33:54.352262+09:00,2024-03-21T17:33:54.352299+09:00,
103,114,,,o_index,True,True,integer,,,,2024-03-21T17:34:53.937326+09:00,2024-03-21T17:34:53.937361+09:00,
104,115,,,p_index,True,True,integer,,,,2024-03-21T17:35:17.030353+09:00,2024-03-21T17:35:17.030387+09:00,
105,116,,,mode,True,True,text,,,,2024-03-21T17:35:48.504900+09:00,2024-03-21T17:35:48.504937+09:00,
