x y score
-0.085 0.144 0.0
-0.095 0.144 1.0
-0.105 0.144 0.0
-0.115 0.144 0.0
-0.125 0.144 1.0
-0.135 0.144 0.0
-0.145 0.144 1.0
-0.155 0.144 1.0
-0.165 0.144 0.0
-0.175 0.144 0.0
-0.185 0.144 0.0
-0.195 0.144 0.0
-0.205 0.144 0.0
-0.215 0.144 0.0
-0.225 0.144 0.0
-0.235 0.144 0.0
0.235 0.126 0.0
0.225 0.126 0.0
0.215 0.126 0.0
0.205 0.126 1.0
0.195 0.126 1.0
0.185 0.126 1.0
0.175 0.126 1.0
0.165 0.126 1.0
0.155 0.126 0.0
0.145 0.126 0.0
0.135 0.126 0.0
0.125 0.126 0.0
0.115 0.126 0.0
0.105 0.126 0.0
0.095 0.126 0.0
0.085 0.126 1.0
0.075 0.126 1.0
0.065 0.126 0.0
0.055 0.126 0.0
0.045 0.126 0.0
0.035 0.126 1.0
0.025 0.126 0.0
0.015 0.126 1.0
0.005 0.126 2.0
-0.005 0.126 0.0
-0.015 0.126 0.0
-0.025 0.126 1.0
-0.035 0.126 0.0
-0.045 0.126 0.0
-0.055 0.126 0.0
-0.065 0.126 0.0
-0.075 0.126 2.0
-0.085 0.126 3.0
-0.095 0.126 0.0
-0.105 0.126 0.0
-0.115 0.126 2.0
-0.125 0.126 1.0
-0.135 0.126 1.0
-0.145 0.126 0.0
-0.155 0.126 0.0
-0.165 0.126 1.0
-0.175 0.126 1.0
-0.185 0.126 0.0
-0.195 0.126 2.0
-0.205 0.126 0.0
-0.215 0.126 0.0
-0.225 0.126 0.0
-0.235 0.126 0.0
0.235 0.108 0.0
0.225 0.108 0.0
0.215 0.108 2.0
0.205 0.108 1.0
0.195 0.108 1.0
0.185 0.108 0.0
0.175 0.108 0.0
0.165 0.108 0.0
0.155 0.108 0.0
0.145 0.108 0.0
0.135 0.108 0.0
0.125 0.108 2.0
0.115 0.108 3.0
0.105 0.108 0.0
0.095 0.108 0.0
0.085 0.108 0.0
0.075 0.108 0.0
0.065 0.108 0.0
0.055 0.108 0.0
0.045 0.108 1.0
0.035 0.108 0.0
0.025 0.108 0.0
0.015 0.108 2.0
0.005 0.108 0.0
-0.005 0.108 0.0
-0.015 0.108 1.0
-0.025 0.108 1.0
-0.035 0.108 0.0
-0.045 0.108 0.0
-0.055 0.108 1.0
-0.065 0.108 0.0
-0.075 0.108 0.0
-0.085 0.108 1.0
-0.095 0.108 0.0
-0.105 0.108 1.0
-0.115 0.108 1.0
-0.125 0.108 0.0
-0.135 0.108 0.0
-0.145 0.108 0.0
-0.155 0.108 1.0
-0.165 0.108 3.0
-0.175 0.108 0.0
-0.185 0.108 0.0
-0.195 0.108 0.0
-0.205 0.108 1.0
-0.215 0.108 0.0
-0.225 0.108 0.0
-0.235 0.108 0.0
0.235 0.09 1.0
0.225 0.09 1.0
0.215 0.09 22.0
0.205 0.09 42.0
0.195 0.09 8.0
0.185 0.09 0.0
0.175 0.09 0.0
0.165 0.09 0.0
0.155 0.09 0.0
0.145 0.09 1.0
0.135 0.09 1.0
0.125 0.09 1.0
0.115 0.09 2.0
0.105 0.09 0.0
0.095 0.09 0.0
0.085 0.09 0.0
0.075 0.09 0.0
0.065 0.09 0.0
0.055 0.09 0.0
0.045 0.09 1.0
0.035 0.09 0.0
0.025 0.09 1.0
0.015 0.09 1.0
0.005 0.09 0.0
-0.005 0.09 1.0
-0.015 0.09 1.0
-0.025 0.09 0.0
-0.035 0.09 0.0
-0.045 0.09 0.0
-0.055 0.09 0.0
-0.065 0.09 2.0
-0.075 0.09 1.0
-0.085 0.09 0.0
-0.095 0.09 2.0
-0.105 0.09 0.0
-0.115 0.09 0.0
-0.125 0.09 2.0
-0.135 0.09 1.0
-0.145 0.09 1.0
-0.155 0.09 0.0
-0.165 0.09 0.0
-0.175 0.09 0.0
-0.185 0.09 1.0
-0.195 0.09 2.0
-0.205 0.09 1.0
-0.215 0.09 0.0
-0.225 0.09 0.0
-0.235 0.09 0.0
0.235 0.072 2.0
0.225 0.072 18.0
0.215 0.072 39.0
0.205 0.072 30.0
0.195 0.072 5.0
0.185 0.072 0.0
0.175 0.072 0.0
0.165 0.072 9.0
0.155 0.072 29.0
0.145 0.072 0.0
0.135 0.072 0.0
0.125 0.072 1.0
0.115 0.072 1.0
0.105 0.072 1.0
0.095 0.072 1.0
0.085 0.072 0.0
0.075 0.072 1.0
0.065 0.072 3.0
0.055 0.072 1.0
0.045 0.072 0.0
0.035 0.072 2.0
0.025 0.072 0.0
0.015 0.072 0.0
0.005 0.072 1.0
-0.005 0.072 1.0
-0.015 0.072 0.0
-0.025 0.072 1.0
-0.035 0.072 1.0
-0.045 0.072 3.0
-0.055 0.072 1.0
-0.065 0.072 0.0
-0.075 0.072 4.0
-0.085 0.072 1.0
-0.095 0.072 1.0
-0.105 0.072 0.0
-0.115 0.072 0.0
-0.125 0.072 1.0
-0.135 0.072 1.0
-0.145 0.072 1.0
-0.155 0.072 0.0
-0.165 0.072 2.0
-0.175 0.072 0.0
-0.185 0.072 0.0
-0.195 0.072 3.0
-0.205 0.072 1.0
-0.215 0.072 0.0
-0.225 0.072 0.0
-0.235 0.072 2.0
0.235 0.054 1.0
0.225 0.054 10.0
0.215 0.054 20.0
0.205 0.054 1.0
0.195 0.054 1.0
0.185 0.054 1.0
0.175 0.054 25.0
0.165 0.054 22.0
0.155 0.054 38.0
0.145 0.054 2.0
0.135 0.054 0.0
0.125 0.054 0.0
0.115 0.054 2.0
0.105 0.054 1.0
0.095 0.054 1.0
0.085 0.054 1.0
0.075 0.054 0.0
0.065 0.054 1.0
0.055 0.054 26.0
0.045 0.054 8.0
0.035 0.054 0.0
0.025 0.054 3.0
0.015 0.054 0.0
0.005 0.054 2.0
-0.005 0.054 1.0
-0.015 0.054 0.0
-0.025 0.054 0.0
-0.035 0.054 2.0
-0.045 0.054 3.0
-0.055 0.054 1.0
-0.065 0.054 1.0
-0.075 0.054 0.0
-0.085 0.054 2.0
-0.095 0.054 0.0
-0.105 0.054 1.0
-0.115 0.054 0.0
-0.125 0.054 2.0
-0.135 0.054 1.0
-0.145 0.054 0.0
-0.155 0.054 1.0
-0.165 0.054 4.0
-0.175 0.054 1.0
-0.185 0.054 0.0
-0.195 0.054 1.0
-0.205 0.054 1.0
-0.215 0.054 0.0
-0.225 0.054 0.0
-0.235 0.054 0.0
0.235 0.036 1.0
0.225 0.036 2.0
0.215 0.036 1.0
0.205 0.036 1.0
0.195 0.036 1.0
0.185 0.036 1.0
0.175 0.036 29.0
0.165 0.036 30.0
0.155 0.036 15.0
0.145 0.036 0.0
0.135 0.036 0.0
0.125 0.036 1.0
0.115 0.036 0.0
0.105 0.036 0.0
0.095 0.036 1.0
0.085 0.036 8.0
0.075 0.036 7.0
0.065 0.036 1.0
0.055 0.036 31.0
0.045 0.036 51.0
0.035 0.036 1.0
0.025 0.036 0.0
0.015 0.036 1.0
0.005 0.036 0.0
-0.005 0.036 1.0
-0.015 0.036 3.0
-0.025 0.036 2.0
-0.035 0.036 0.0
-0.045 0.036 1.0
-0.055 0.036 0.0
-0.065 0.036 0.0
-0.075 0.036 0.0
-0.085 0.036 2.0
-0.095 0.036 0.0
-0.105 0.036 1.0
-0.115 0.036 3.0
-0.125 0.036 2.0
-0.135 0.036 1.0
-0.145 0.036 1.0
-0.155 0.036 2.0
-0.165 0.036 0.0
-0.175 0.036 2.0
-0.185 0.036 0.0
-0.195 0.036 0.0
-0.205 0.036 0.0
-0.215 0.036 0.0
-0.225 0.036 1.0
-0.235 0.036 0.0
0.235 0.018 1.0
0.225 0.018 0.0
0.215 0.018 0.0
0.205 0.018 1.0
0.195 0.018 0.0
0.185 0.018 0.0
0.175 0.018 7.0
0.165 0.018 9.0
0.155 0.018 0.0
0.145 0.018 0.0
0.135 0.018 1.0
0.125 0.018 0.0
0.115 0.018 0.0
0.105 0.018 0.0
0.095 0.018 4.0
0.085 0.018 19.0
0.075 0.018 7.0
0.065 0.018 9.0
0.055 0.018 13.0
0.045 0.018 59.0
0.035 0.018 2.0
0.025 0.018 1.0
0.015 0.018 0.0
0.005 0.018 1.0
-0.005 0.018 1.0
-0.015 0.018 1.0
-0.025 0.018 1.0
-0.035 0.018 0.0
-0.045 0.018 1.0
-0.055 0.018 0.0
-0.065 0.018 2.0
-0.075 0.018 0.0
-0.085 0.018 0.0
-0.095 0.018 1.0
-0.105 0.018 2.0
-0.115 0.018 1.0
-0.125 0.018 1.0
-0.135 0.018 1.0
-0.145 0.018 0.0
-0.155 0.018 0.0
-0.165 0.018 0.0
-0.175 0.018 1.0
-0.185 0.018 1.0
-0.195 0.018 3.0
-0.205 0.018 0.0
-0.215 0.018 0.0
-0.225 0.018 3.0
-0.235 0.018 0.0
0.235 0.0 9.0
0.225 0.0 5.0
0.215 0.0 0.0
0.205 0.0 0.0
0.195 0.0 2.0
0.185 0.0 0.0
0.175 0.0 0.0
0.165 0.0 0.0
0.155 0.0 0.0
0.145 0.0 0.0
0.135 0.0 0.0
0.125 0.0 0.0
0.115 0.0 2.0
0.105 0.0 0.0
0.095 0.0 1.0
0.085 0.0 3.0
0.075 0.0 6.0
0.065 0.0 18.0
0.055 0.0 19.0
0.045 0.0 14.0
0.035 0.0 0.0
0.025 0.0 1.0
0.015 0.0 0.0
0.005 0.0 0.0
-0.005 0.0 1.0
-0.015 0.0 1.0
-0.025 0.0 2.0
-0.035 0.0 1.0
-0.045 0.0 0.0
-0.055 0.0 0.0
-0.065 0.0 0.0
-0.075 0.0 1.0
-0.085 0.0 0.0
-0.095 0.0 0.0
-0.105 0.0 0.0
-0.115 0.0 0.0
-0.125 0.0 2.0
-0.135 0.0 0.0
-0.145 0.0 1.0
-0.155 0.0 2.0
-0.165 0.0 1.0
-0.175 0.0 0.0
-0.185 0.0 0.0
-0.195 0.0 1.0
-0.205 0.0 0.0
-0.215 0.0 1.0
-0.225 0.0 0.0
-0.235 0.0 0.0
0.235 -0.018 15.0
0.225 -0.018 2.0
0.215 -0.018 2.0
0.205 -0.018 0.0
0.195 -0.018 0.0
0.185 -0.018 0.0
0.175 -0.018 0.0
0.165 -0.018 0.0
0.155 -0.018 1.0
0.145 -0.018 0.0
0.135 -0.018 0.0
0.125 -0.018 0.0
0.115 -0.018 2.0
0.105 -0.018 1.0
0.095 -0.018 0.0
0.085 -0.018 1.0
0.075 -0.018 1.0
0.065 -0.018 0.0
0.055 -0.018 1.0
0.045 -0.018 3.0
0.035 -0.018 0.0
0.025 -0.018 0.0
0.015 -0.018 0.0
0.005 -0.018 2.0
-0.005 -0.018 3.0
-0.015 -0.018 1.0
